state,occupation,race,percent
Alabama,Top executives,Hispanic or Latino,1.7
Alabama,Top executives,White,86.0
Alabama,Top executives,Black or African American,10.3
Alabama,Top executives,American Indian / Alaska Native,0.3
Alabama,Top executives,Asian,1.2
Alabama,Top executives,Native Hawaiian / Pacific Islander,0.0
Alabama,"Advertising, marketing, promotions, public relations, and sales managers",Hispanic or Latino,2.1
Alabama,"Advertising, marketing, promotions, public relations, and sales managers",White,85.1
Alabama,"Advertising, marketing, promotions, public relations, and sales managers",Black or African American,9.3
Alabama,"Advertising, marketing, promotions, public relations, and sales managers",American Indian / Alaska Native,0.8
Alabama,"Advertising, marketing, promotions, public relations, and sales managers",Asian,2.1
Alabama,"Advertising, marketing, promotions, public relations, and sales managers",Native Hawaiian / Pacific Islander,0.0
Alabama,Administrative services and facilities managers,Hispanic or Latino,2.3
Alabama,Administrative services and facilities managers,White,84.5
Alabama,Administrative services and facilities managers,Black or African American,11.3
Alabama,Administrative services and facilities managers,American Indian / Alaska Native,0.0
Alabama,Administrative services and facilities managers,Asian,1.0
Alabama,Administrative services and facilities managers,Native Hawaiian / Pacific Islander,0.0
Alabama,Computer and information systems managers,Hispanic or Latino,2.9
Alabama,Computer and information systems managers,White,86.9
Alabama,Computer and information systems managers,Black or African American,5.8
Alabama,Computer and information systems managers,American Indian / Alaska Native,0.1
Alabama,Computer and information systems managers,Asian,4.0
Alabama,Computer and information systems managers,Native Hawaiian / Pacific Islander,0.0
Alabama,Financial managers,Hispanic or Latino,3.8
Alabama,Financial managers,White,77.8
Alabama,Financial managers,Black or African American,16.2
Alabama,Financial managers,American Indian / Alaska Native,0.2
Alabama,Financial managers,Asian,1.2
Alabama,Financial managers,Native Hawaiian / Pacific Islander,0.0
Alaska,Top executives,Hispanic or Latino,4.9
Alaska,Top executives,White,75.4
Alaska,Top executives,Black or African American,3.7
Alaska,Top executives,American Indian / Alaska Native,10.7
Alaska,Top executives,Asian,1.5
Alaska,Top executives,Native Hawaiian / Pacific Islander,0.5
Alaska,"Advertising, marketing, promotions, public relations, and sales managers",Hispanic or Latino,5.0
Alaska,"Advertising, marketing, promotions, public relations, and sales managers",White,77.1
Alaska,"Advertising, marketing, promotions, public relations, and sales managers",Black or African American,3.0
Alaska,"Advertising, marketing, promotions, public relations, and sales managers",American Indian / Alaska Native,4.0
Alaska,"Advertising, marketing, promotions, public relations, and sales managers",Asian,4.5
Alaska,"Advertising, marketing, promotions, public relations, and sales managers",Native Hawaiian / Pacific Islander,0.0
Alaska,Administrative services and facilities managers,Hispanic or Latino,1.7
Alaska,Administrative services and facilities managers,White,73.5
Alaska,Administrative services and facilities managers,Black or African American,5.1
Alaska,Administrative services and facilities managers,American Indian / Alaska Native,7.7
Alaska,Administrative services and facilities managers,Asian,5.1
Alaska,Administrative services and facilities managers,Native Hawaiian / Pacific Islander,0.0
Alaska,Computer and information systems managers,Hispanic or Latino,2.1
Alaska,Computer and information systems managers,White,85.6
Alaska,Computer and information systems managers,Black or African American,1.6
Alaska,Computer and information systems managers,American Indian / Alaska Native,4.8
Alaska,Computer and information systems managers,Asian,2.7
Alaska,Computer and information systems managers,Native Hawaiian / Pacific Islander,0.0
Alaska,Financial managers,Hispanic or Latino,3.9
Alaska,Financial managers,White,67.3
Alaska,Financial managers,Black or African American,1.0
Alaska,Financial managers,American Indian / Alaska Native,6.3
Alaska,Financial managers,Asian,8.5
Alaska,Financial managers,Native Hawaiian / Pacific Islander,2.4
Arizona,Top executives,Hispanic or Latino,13.8
Arizona,Top executives,White,78.5
Arizona,Top executives,Black or African American,1.7
Arizona,Top executives,American Indian / Alaska Native,1.8
Arizona,Top executives,Asian,2.6
Arizona,Top executives,Native Hawaiian / Pacific Islander,0.0
Arizona,"Advertising, marketing, promotions, public relations, and sales managers",Hispanic or Latino,15.7
Arizona,"Advertising, marketing, promotions, public relations, and sales managers",White,75.7
Arizona,"Advertising, marketing, promotions, public relations, and sales managers",Black or African American,2.6
Arizona,"Advertising, marketing, promotions, public relations, and sales managers",American Indian / Alaska Native,0.5
Arizona,"Advertising, marketing, promotions, public relations, and sales managers",Asian,2.8
Arizona,"Advertising, marketing, promotions, public relations, and sales managers",Native Hawaiian / Pacific Islander,0.2
Arizona,Administrative services and facilities managers,Hispanic or Latino,23.7
Arizona,Administrative services and facilities managers,White,63.3
Arizona,Administrative services and facilities managers,Black or African American,6.4
Arizona,Administrative services and facilities managers,American Indian / Alaska Native,2.9
Arizona,Administrative services and facilities managers,Asian,2.5
Arizona,Administrative services and facilities managers,Native Hawaiian / Pacific Islander,0.6
Arizona,Computer and information systems managers,Hispanic or Latino,10.4
Arizona,Computer and information systems managers,White,70.0
Arizona,Computer and information systems managers,Black or African American,2.7
Arizona,Computer and information systems managers,American Indian / Alaska Native,0.5
Arizona,Computer and information systems managers,Asian,14.0
Arizona,Computer and information systems managers,Native Hawaiian / Pacific Islander,0.1
Arizona,Financial managers,Hispanic or Latino,25.3
Arizona,Financial managers,White,63.9
Arizona,Financial managers,Black or African American,4.1
Arizona,Financial managers,American Indian / Alaska Native,1.2
Arizona,Financial managers,Asian,2.9
Arizona,Financial managers,Native Hawaiian / Pacific Islander,0.1
Arkansas,Top executives,Hispanic or Latino,1.9
Arkansas,Top executives,White,90.3
Arkansas,Top executives,Black or African American,5.5
Arkansas,Top executives,American Indian / Alaska Native,0.5
Arkansas,Top executives,Asian,0.7
Arkansas,Top executives,Native Hawaiian / Pacific Islander,0.0
Arkansas,"Advertising, marketing, promotions, public relations, and sales managers",Hispanic or Latino,2.0
Arkansas,"Advertising, marketing, promotions, public relations, and sales managers",White,87.9
Arkansas,"Advertising, marketing, promotions, public relations, and sales managers",Black or African American,5.9
Arkansas,"Advertising, marketing, promotions, public relations, and sales managers",American Indian / Alaska Native,0.2
Arkansas,"Advertising, marketing, promotions, public relations, and sales managers",Asian,1.5
Arkansas,"Advertising, marketing, promotions, public relations, and sales managers",Native Hawaiian / Pacific Islander,0.0
Arkansas,Administrative services and facilities managers,Hispanic or Latino,0.0
Arkansas,Administrative services and facilities managers,White,90.5
Arkansas,Administrative services and facilities managers,Black or African American,8.9
Arkansas,Administrative services and facilities managers,American Indian / Alaska Native,0.0
Arkansas,Administrative services and facilities managers,Asian,0.0
Arkansas,Administrative services and facilities managers,Native Hawaiian / Pacific Islander,0.0
Arkansas,Computer and information systems managers,Hispanic or Latino,4.8
Arkansas,Computer and information systems managers,White,84.9
Arkansas,Computer and information systems managers,Black or African American,3.4
Arkansas,Computer and information systems managers,American Indian / Alaska Native,0.0
Arkansas,Computer and information systems managers,Asian,5.6
Arkansas,Computer and information systems managers,Native Hawaiian / Pacific Islander,0.0
Arkansas,Financial managers,Hispanic or Latino,4.3
Arkansas,Financial managers,White,84.2
Arkansas,Financial managers,Black or African American,7.4
Arkansas,Financial managers,American Indian / Alaska Native,1.2
Arkansas,Financial managers,Asian,0.9
Arkansas,Financial managers,Native Hawaiian / Pacific Islander,0.5
California,Top executives,Hispanic or Latino,13.9
California,Top executives,White,66.2
California,Top executives,Black or African American,2.6
California,Top executives,American Indian / Alaska Native,0.3
California,Top executives,Asian,14.1
California,Top executives,Native Hawaiian / Pacific Islander,0.2
California,"Advertising, marketing, promotions, public relations, and sales managers",Hispanic or Latino,14.5
California,"Advertising, marketing, promotions, public relations, and sales managers",White,62.0
California,"Advertising, marketing, promotions, public relations, and sales managers",Black or African American,3.9
California,"Advertising, marketing, promotions, public relations, and sales managers",American Indian / Alaska Native,0.2
California,"Advertising, marketing, promotions, public relations, and sales managers",Asian,16.0
California,"Advertising, marketing, promotions, public relations, and sales managers",Native Hawaiian / Pacific Islander,0.1
California,Administrative services and facilities managers,Hispanic or Latino,22.3
California,Administrative services and facilities managers,White,56.8
California,Administrative services and facilities managers,Black or African American,7.2
California,Administrative services and facilities managers,American Indian / Alaska Native,0.5
California,Administrative services and facilities managers,Asian,9.7
California,Administrative services and facilities managers,Native Hawaiian / Pacific Islander,0.1
California,Computer and information systems managers,Hispanic or Latino,9.7
California,Computer and information systems managers,White,54.2
California,Computer and information systems managers,Black or African American,3.3
California,Computer and information systems managers,American Indian / Alaska Native,0.1
California,Computer and information systems managers,Asian,28.9
California,Computer and information systems managers,Native Hawaiian / Pacific Islander,0.3
California,Financial managers,Hispanic or Latino,20.6
California,Financial managers,White,51.6
California,Financial managers,Black or African American,4.0
California,Financial managers,American Indian / Alaska Native,0.2
California,Financial managers,Asian,20.5
California,Financial managers,Native Hawaiian / Pacific Islander,0.4
Colorado,Top executives,Hispanic or Latino,7.2
Colorado,Top executives,White,87.1
Colorado,Top executives,Black or African American,1.8
Colorado,Top executives,American Indian / Alaska Native,0.3
Colorado,Top executives,Asian,1.9
Colorado,Top executives,Native Hawaiian / Pacific Islander,0.0
Colorado,"Advertising, marketing, promotions, public relations, and sales managers",Hispanic or Latino,8.1
Colorado,"Advertising, marketing, promotions, public relations, and sales managers",White,84.6
Colorado,"Advertising, marketing, promotions, public relations, and sales managers",Black or African American,3.1
Colorado,"Advertising, marketing, promotions, public relations, and sales managers",American Indian / Alaska Native,0.2
Colorado,"Advertising, marketing, promotions, public relations, and sales managers",Asian,2.0
Colorado,"Advertising, marketing, promotions, public relations, and sales managers",Native Hawaiian / Pacific Islander,0.1
Colorado,Administrative services and facilities managers,Hispanic or Latino,9.3
Colorado,Administrative services and facilities managers,White,83.6
Colorado,Administrative services and facilities managers,Black or African American,1.4
Colorado,Administrative services and facilities managers,American Indian / Alaska Native,0.6
Colorado,Administrative services and facilities managers,Asian,1.4
Colorado,Administrative services and facilities managers,Native Hawaiian / Pacific Islander,0.8
Colorado,Computer and information systems managers,Hispanic or Latino,4.1
Colorado,Computer and information systems managers,White,84.7
Colorado,Computer and information systems managers,Black or African American,1.9
Colorado,Computer and information systems managers,American Indian / Alaska Native,0.0
Colorado,Computer and information systems managers,Asian,7.3
Colorado,Computer and information systems managers,Native Hawaiian / Pacific Islander,0.0
Colorado,Financial managers,Hispanic or Latino,12.9
Colorado,Financial managers,White,78.5
Colorado,Financial managers,Black or African American,3.3
Colorado,Financial managers,American Indian / Alaska Native,0.5
Colorado,Financial managers,Asian,3.3
Colorado,Financial managers,Native Hawaiian / Pacific Islander,0.0
Connecticut,Top executives,Hispanic or Latino,4.6
Connecticut,Top executives,White,86.5
Connecticut,Top executives,Black or African American,2.8
Connecticut,Top executives,American Indian / Alaska Native,0.0
Connecticut,Top executives,Asian,4.3
Connecticut,Top executives,Native Hawaiian / Pacific Islander,0.0
Connecticut,"Advertising, marketing, promotions, public relations, and sales managers",Hispanic or Latino,5.4
Connecticut,"Advertising, marketing, promotions, public relations, and sales managers",White,85.2
Connecticut,"Advertising, marketing, promotions, public relations, and sales managers",Black or African American,3.7
Connecticut,"Advertising, marketing, promotions, public relations, and sales managers",American Indian / Alaska Native,0.7
Connecticut,"Advertising, marketing, promotions, public relations, and sales managers",Asian,3.9
Connecticut,"Advertising, marketing, promotions, public relations, and sales managers",Native Hawaiian / Pacific Islander,0.0
Connecticut,Administrative services and facilities managers,Hispanic or Latino,9.6
Connecticut,Administrative services and facilities managers,White,86.3
Connecticut,Administrative services and facilities managers,Black or African American,3.3
Connecticut,Administrative services and facilities managers,American Indian / Alaska Native,0.0
Connecticut,Administrative services and facilities managers,Asian,0.7
Connecticut,Administrative services and facilities managers,Native Hawaiian / Pacific Islander,0.0
Connecticut,Computer and information systems managers,Hispanic or Latino,5.9
Connecticut,Computer and information systems managers,White,69.8
Connecticut,Computer and information systems managers,Black or African American,5.0
Connecticut,Computer and information systems managers,American Indian / Alaska Native,0.2
Connecticut,Computer and information systems managers,Asian,17.8
Connecticut,Computer and information systems managers,Native Hawaiian / Pacific Islander,0.0
Connecticut,Financial managers,Hispanic or Latino,8.6
Connecticut,Financial managers,White,80.4
Connecticut,Financial managers,Black or African American,4.3
Connecticut,Financial managers,American Indian / Alaska Native,0.0
Connecticut,Financial managers,Asian,5.4
Connecticut,Financial managers,Native Hawaiian / Pacific Islander,0.0
Delaware,Top executives,Hispanic or Latino,6.2
Delaware,Top executives,White,76.5
Delaware,Top executives,Black or African American,13.3
Delaware,Top executives,American Indian / Alaska Native,0.0
Delaware,Top executives,Asian,3.5
Delaware,Top executives,Native Hawaiian / Pacific Islander,0.0
Delaware,"Advertising, marketing, promotions, public relations, and sales managers",Hispanic or Latino,6.7
Delaware,"Advertising, marketing, promotions, public relations, and sales managers",White,84.1
Delaware,"Advertising, marketing, promotions, public relations, and sales managers",Black or African American,8.0
Delaware,"Advertising, marketing, promotions, public relations, and sales managers",American Indian / Alaska Native,0.0
Delaware,"Advertising, marketing, promotions, public relations, and sales managers",Asian,0.7
Delaware,"Advertising, marketing, promotions, public relations, and sales managers",Native Hawaiian / Pacific Islander,0.0
Delaware,Administrative services and facilities managers,Hispanic or Latino,0.6
Delaware,Administrative services and facilities managers,White,75.8
Delaware,Administrative services and facilities managers,Black or African American,23.4
Delaware,Administrative services and facilities managers,American Indian / Alaska Native,0.0
Delaware,Administrative services and facilities managers,Asian,0.0
Delaware,Administrative services and facilities managers,Native Hawaiian / Pacific Islander,0.0
Delaware,Computer and information systems managers,Hispanic or Latino,5.8
Delaware,Computer and information systems managers,White,63.0
Delaware,Computer and information systems managers,Black or African American,15.6
Delaware,Computer and information systems managers,American Indian / Alaska Native,1.0
Delaware,Computer and information systems managers,Asian,9.6
Delaware,Computer and information systems managers,Native Hawaiian / Pacific Islander,0.0
Delaware,Financial managers,Hispanic or Latino,5.8
Delaware,Financial managers,White,67.9
Delaware,Financial managers,Black or African American,20.1
Delaware,Financial managers,American Indian / Alaska Native,0.1
Delaware,Financial managers,Asian,5.1
Delaware,Financial managers,Native Hawaiian / Pacific Islander,0.0
District of Columbia,Top executives,Hispanic or Latino,8.5
District of Columbia,Top executives,White,71.1
District of Columbia,Top executives,Black or African American,14.1
District of Columbia,Top executives,American Indian / Alaska Native,0.8
District of Columbia,Top executives,Asian,3.9
District of Columbia,Top executives,Native Hawaiian / Pacific Islander,0.0
District of Columbia,"Advertising, marketing, promotions, public relations, and sales managers",Hispanic or Latino,5.9
District of Columbia,"Advertising, marketing, promotions, public relations, and sales managers",White,73.8
District of Columbia,"Advertising, marketing, promotions, public relations, and sales managers",Black or African American,13.5
District of Columbia,"Advertising, marketing, promotions, public relations, and sales managers",American Indian / Alaska Native,0.0
District of Columbia,"Advertising, marketing, promotions, public relations, and sales managers",Asian,3.7
District of Columbia,"Advertising, marketing, promotions, public relations, and sales managers",Native Hawaiian / Pacific Islander,0.0
District of Columbia,Administrative services and facilities managers,Hispanic or Latino,0.0
District of Columbia,Administrative services and facilities managers,White,42.3
District of Columbia,Administrative services and facilities managers,Black or African American,52.1
District of Columbia,Administrative services and facilities managers,American Indian / Alaska Native,0.0
District of Columbia,Administrative services and facilities managers,Asian,5.6
District of Columbia,Administrative services and facilities managers,Native Hawaiian / Pacific Islander,0.0
District of Columbia,Computer and information systems managers,Hispanic or Latino,9.1
District of Columbia,Computer and information systems managers,White,69.3
District of Columbia,Computer and information systems managers,Black or African American,13.3
District of Columbia,Computer and information systems managers,American Indian / Alaska Native,0.0
District of Columbia,Computer and information systems managers,Asian,7.0
District of Columbia,Computer and information systems managers,Native Hawaiian / Pacific Islander,0.2
District of Columbia,Financial managers,Hispanic or Latino,10.3
District of Columbia,Financial managers,White,68.4
District of Columbia,Financial managers,Black or African American,13.9
District of Columbia,Financial managers,American Indian / Alaska Native,0.0
District of Columbia,Financial managers,Asian,6.5
District of Columbia,Financial managers,Native Hawaiian / Pacific Islander,0.0
Florida,Top executives,Hispanic or Latino,19.5
Florida,Top executives,White,71.9
Florida,Top executives,Black or African American,4.9
Florida,Top executives,American Indian / Alaska Native,0.2
Florida,Top executives,Asian,2.0
Florida,Top executives,Native Hawaiian / Pacific Islander,0.1
Florida,"Advertising, marketing, promotions, public relations, and sales managers",Hispanic or Latino,23.3
Florida,"Advertising, marketing, promotions, public relations, and sales managers",White,66.6
Florida,"Advertising, marketing, promotions, public relations, and sales managers",Black or African American,5.7
Florida,"Advertising, marketing, promotions, public relations, and sales managers",American Indian / Alaska Native,0.4
Florida,"Advertising, marketing, promotions, public relations, and sales managers",Asian,2.2
Florida,"Advertising, marketing, promotions, public relations, and sales managers",Native Hawaiian / Pacific Islander,0.1
Florida,Administrative services and facilities managers,Hispanic or Latino,28.4
Florida,Administrative services and facilities managers,White,61.8
Florida,Administrative services and facilities managers,Black or African American,4.2
Florida,Administrative services and facilities managers,American Indian / Alaska Native,0.0
Florida,Administrative services and facilities managers,Asian,3.2
Florida,Administrative services and facilities managers,Native Hawaiian / Pacific Islander,0.0
Florida,Computer and information systems managers,Hispanic or Latino,17.8
Florida,Computer and information systems managers,White,65.7
Florida,Computer and information systems managers,Black or African American,5.7
Florida,Computer and information systems managers,American Indian / Alaska Native,0.1
Florida,Computer and information systems managers,Asian,8.1
Florida,Computer and information systems managers,Native Hawaiian / Pacific Islander,0.1
Florida,Financial managers,Hispanic or Latino,26.5
Florida,Financial managers,White,60.4
Florida,Financial managers,Black or African American,8.8
Florida,Financial managers,American Indian / Alaska Native,0.3
Florida,Financial managers,Asian,2.3
Florida,Financial managers,Native Hawaiian / Pacific Islander,0.0
Georgia,Top executives,Hispanic or Latino,4.5
Georgia,Top executives,White,77.9
Georgia,Top executives,Black or African American,12.9
Georgia,Top executives,American Indian / Alaska Native,0.1
Georgia,Top executives,Asian,3.4
Georgia,Top executives,Native Hawaiian / Pacific Islander,0.0
Georgia,"Advertising, marketing, promotions, public relations, and sales managers",Hispanic or Latino,4.9
Georgia,"Advertising, marketing, promotions, public relations, and sales managers",White,75.6
Georgia,"Advertising, marketing, promotions, public relations, and sales managers",Black or African American,14.2
Georgia,"Advertising, marketing, promotions, public relations, and sales managers",American Indian / Alaska Native,0.2
Georgia,"Advertising, marketing, promotions, public relations, and sales managers",Asian,3.3
Georgia,"Advertising, marketing, promotions, public relations, and sales managers",Native Hawaiian / Pacific Islander,0.1
Georgia,Administrative services and facilities managers,Hispanic or Latino,2.2
Georgia,Administrative services and facilities managers,White,72.9
Georgia,Administrative services and facilities managers,Black or African American,20.6
Georgia,Administrative services and facilities managers,American Indian / Alaska Native,0.2
Georgia,Administrative services and facilities managers,Asian,1.7
Georgia,Administrative services and facilities managers,Native Hawaiian / Pacific Islander,0.0
Georgia,Computer and information systems managers,Hispanic or Latino,5.4
Georgia,Computer and information systems managers,White,60.1
Georgia,Computer and information systems managers,Black or African American,18.7
Georgia,Computer and information systems managers,American Indian / Alaska Native,0.1
Georgia,Computer and information systems managers,Asian,13.5
Georgia,Computer and information systems managers,Native Hawaiian / Pacific Islander,0.0
Georgia,Financial managers,Hispanic or Latino,5.5
Georgia,Financial managers,White,64.9
Georgia,Financial managers,Black or African American,23.4
Georgia,Financial managers,American Indian / Alaska Native,0.1
Georgia,Financial managers,Asian,4.7
Georgia,Financial managers,Native Hawaiian / Pacific Islander,0.0
Hawaii,Top executives,Hispanic or Latino,5.3
Hawaii,Top executives,White,37.4
Hawaii,Top executives,Black or African American,0.6
Hawaii,Top executives,American Indian / Alaska Native,0.2
Hawaii,Top executives,Asian,35.8
Hawaii,Top executives,Native Hawaiian / Pacific Islander,6.2
Hawaii,"Advertising, marketing, promotions, public relations, and sales managers",Hispanic or Latino,11.0
Hawaii,"Advertising, marketing, promotions, public relations, and sales managers",White,41.1
Hawaii,"Advertising, marketing, promotions, public relations, and sales managers",Black or African American,2.2
Hawaii,"Advertising, marketing, promotions, public relations, and sales managers",American Indian / Alaska Native,0.0
Hawaii,"Advertising, marketing, promotions, public relations, and sales managers",Asian,31.8
Hawaii,"Advertising, marketing, promotions, public relations, and sales managers",Native Hawaiian / Pacific Islander,1.9
Hawaii,Administrative services and facilities managers,Hispanic or Latino,15.3
Hawaii,Administrative services and facilities managers,White,19.8
Hawaii,Administrative services and facilities managers,Black or African American,0.6
Hawaii,Administrative services and facilities managers,American Indian / Alaska Native,0.0
Hawaii,Administrative services and facilities managers,Asian,32.1
Hawaii,Administrative services and facilities managers,Native Hawaiian / Pacific Islander,13.0
Hawaii,Computer and information systems managers,Hispanic or Latino,9.5
Hawaii,Computer and information systems managers,White,31.8
Hawaii,Computer and information systems managers,Black or African American,2.6
Hawaii,Computer and information systems managers,American Indian / Alaska Native,0.6
Hawaii,Computer and information systems managers,Asian,47.1
Hawaii,Computer and information systems managers,Native Hawaiian / Pacific Islander,0.9
Hawaii,Financial managers,Hispanic or Latino,4.7
Hawaii,Financial managers,White,19.7
Hawaii,Financial managers,Black or African American,1.5
Hawaii,Financial managers,American Indian / Alaska Native,0.5
Hawaii,Financial managers,Asian,52.0
Hawaii,Financial managers,Native Hawaiian / Pacific Islander,6.8
Idaho,Top executives,Hispanic or Latino,2.7
Idaho,Top executives,White,94.5
Idaho,Top executives,Black or African American,0.5
Idaho,Top executives,American Indian / Alaska Native,0.5
Idaho,Top executives,Asian,0.9
Idaho,Top executives,Native Hawaiian / Pacific Islander,0.0
Idaho,"Advertising, marketing, promotions, public relations, and sales managers",Hispanic or Latino,5.5
Idaho,"Advertising, marketing, promotions, public relations, and sales managers",White,86.2
Idaho,"Advertising, marketing, promotions, public relations, and sales managers",Black or African American,0.0
Idaho,"Advertising, marketing, promotions, public relations, and sales managers",American Indian / Alaska Native,0.6
Idaho,"Advertising, marketing, promotions, public relations, and sales managers",Asian,4.4
Idaho,"Advertising, marketing, promotions, public relations, and sales managers",Native Hawaiian / Pacific Islander,0.0
Idaho,Administrative services and facilities managers,Hispanic or Latino,15.6
Idaho,Administrative services and facilities managers,White,77.4
Idaho,Administrative services and facilities managers,Black or African American,0.0
